,Min Impurity Decrease,Training Acc,Validation Acc
0,0.0,1.0,1.0
1,0.01,1.0,1.0
2,0.02,1.0,1.0
3,0.03,0.0781068524970964,0.061653116531165314
4,0.04,0.02700348432055749,0.018292682926829267
5,0.05,0.02700348432055749,0.018292682926829267
6,0.06,0.02700348432055749,0.018292682926829267
7,0.07,0.02700348432055749,0.018292682926829267
8,0.08,0.02700348432055749,0.018292682926829267
9,0.09,0.02700348432055749,0.018292682926829267
10,0.1,0.02700348432055749,0.018292682926829267
11,0.11,0.02700348432055749,0.018292682926829267
12,0.12,0.02700348432055749,0.018292682926829267
13,0.13,0.02700348432055749,0.018292682926829267
14,0.14,0.02700348432055749,0.018292682926829267
15,0.15,0.02700348432055749,0.018292682926829267
16,0.16,0.02700348432055749,0.018292682926829267
17,0.17,0.02700348432055749,0.018292682926829267
18,0.18,0.02700348432055749,0.018292682926829267
19,0.19,0.02700348432055749,0.018292682926829267
20,0.2,0.02700348432055749,0.018292682926829267
21,0.21,0.02700348432055749,0.018292682926829267
22,0.22,0.02700348432055749,0.018292682926829267
23,0.23,0.02700348432055749,0.018292682926829267
24,0.24,0.02700348432055749,0.018292682926829267
25,0.25,0.02700348432055749,0.018292682926829267
26,0.26,0.02700348432055749,0.018292682926829267
27,0.27,0.02700348432055749,0.018292682926829267
28,0.28,0.02700348432055749,0.018292682926829267
29,0.29,0.02700348432055749,0.018292682926829267
30,0.3,0.02700348432055749,0.018292682926829267
31,0.31,0.02700348432055749,0.018292682926829267
32,0.32,0.02700348432055749,0.018292682926829267
33,0.33,0.02700348432055749,0.018292682926829267
34,0.34,0.02700348432055749,0.018292682926829267
35,0.35000000000000003,0.02700348432055749,0.018292682926829267
36,0.36,0.02700348432055749,0.018292682926829267
37,0.37,0.02700348432055749,0.018292682926829267
38,0.38,0.02700348432055749,0.018292682926829267
39,0.39,0.02700348432055749,0.018292682926829267
40,0.4,0.02700348432055749,0.018292682926829267
41,0.41000000000000003,0.02700348432055749,0.018292682926829267
42,0.42,0.02700348432055749,0.018292682926829267
43,0.43,0.02700348432055749,0.018292682926829267
44,0.44,0.02700348432055749,0.018292682926829267
45,0.45,0.02700348432055749,0.018292682926829267
46,0.46,0.02700348432055749,0.018292682926829267
47,0.47000000000000003,0.02700348432055749,0.018292682926829267
48,0.48,0.02700348432055749,0.018292682926829267
49,0.49,0.02700348432055749,0.018292682926829267
50,0.5,0.02700348432055749,0.018292682926829267
51,0.51,0.02700348432055749,0.018292682926829267
52,0.52,0.02700348432055749,0.018292682926829267
53,0.53,0.02700348432055749,0.018292682926829267
54,0.54,0.02700348432055749,0.018292682926829267
55,0.55,0.02700348432055749,0.018292682926829267
56,0.56,0.02700348432055749,0.018292682926829267
57,0.5700000000000001,0.02700348432055749,0.018292682926829267
58,0.58,0.02700348432055749,0.018292682926829267
59,0.59,0.02700348432055749,0.018292682926829267
60,0.6,0.02700348432055749,0.018292682926829267
61,0.61,0.02700348432055749,0.018292682926829267
62,0.62,0.02700348432055749,0.018292682926829267
63,0.63,0.02700348432055749,0.018292682926829267
64,0.64,0.02700348432055749,0.018292682926829267
65,0.65,0.02700348432055749,0.018292682926829267
66,0.66,0.02700348432055749,0.018292682926829267
67,0.67,0.02700348432055749,0.018292682926829267
68,0.68,0.02700348432055749,0.018292682926829267
69,0.6900000000000001,0.02700348432055749,0.018292682926829267
70,0.7000000000000001,0.02700348432055749,0.018292682926829267
71,0.71,0.02700348432055749,0.018292682926829267
72,0.72,0.02700348432055749,0.018292682926829267
73,0.73,0.02700348432055749,0.018292682926829267
74,0.74,0.02700348432055749,0.018292682926829267
75,0.75,0.02700348432055749,0.018292682926829267
76,0.76,0.02700348432055749,0.018292682926829267
77,0.77,0.02700348432055749,0.018292682926829267
78,0.78,0.02700348432055749,0.018292682926829267
79,0.79,0.02700348432055749,0.018292682926829267
80,0.8,0.02700348432055749,0.018292682926829267
81,0.81,0.02700348432055749,0.018292682926829267
82,0.8200000000000001,0.02700348432055749,0.018292682926829267
83,0.8300000000000001,0.02700348432055749,0.018292682926829267
84,0.84,0.02700348432055749,0.018292682926829267
85,0.85,0.02700348432055749,0.018292682926829267
86,0.86,0.02700348432055749,0.018292682926829267
87,0.87,0.02700348432055749,0.018292682926829267
88,0.88,0.02700348432055749,0.018292682926829267
89,0.89,0.02700348432055749,0.018292682926829267
90,0.9,0.02700348432055749,0.018292682926829267
91,0.91,0.02700348432055749,0.018292682926829267
92,0.92,0.02700348432055749,0.018292682926829267
93,0.93,0.02700348432055749,0.018292682926829267
94,0.9400000000000001,0.02700348432055749,0.018292682926829267
95,0.9500000000000001,0.02700348432055749,0.018292682926829267
96,0.96,0.02700348432055749,0.018292682926829267
97,0.97,0.02700348432055749,0.018292682926829267
98,0.98,0.02700348432055749,0.018292682926829267
99,0.99,0.02700348432055749,0.018292682926829267
